SegmentNumber,Diameter1 _um,Diameter2_um,Diameter3_um,DiameterMean_um,RadiiMean_um,Xstart,Ystart,Zstart,Xend,Yend,Zend,Node_at_Xstart_Ystart,Node_at_Xend_Yend,Unnamed: 14
1,9.7717,7.1619,2.9726,6.6354,3.3177,10056.36,10111.85,0,10083.96,10073.92,0,0,1,IN
2,2.9726,4.71,6.9399,4.8741666666666665,2.4370833333333333,10083.96,10073.92,0,10182.86,10164.91,0,1,2,
3,6.9399,2.2252,4.548,4.571033333333333,2.2855166666666666,10182.86,10164.91,0,10088.94,10136.81,0,2,3,
4,9.7717,5.521,4.548,6.613566666666666,3.306783333333333,10056.36,10111.85,0,10088.94,10136.81,0,0,3,
5,4.548,3.3445,2.3439,3.4121333333333332,1.7060666666666666,10088.94,10136.81,0,10062.82,10167.82,0,3,4,
6,2.3439,4.802,8.0457,5.063866666666667,2.5319333333333334,10062.82,10167.82,0,10093.35,10203.21,0,4,5,
7,8.0457,7.1375,4.7914,6.6582,3.3291,10093.35,10203.21,0,10141.79,10180.75,0,5,6,
8,6.9399,5.4749,4.7914,5.735399999999999,2.8676999999999997,10182.86,10164.91,0,10141.79,10180.75,0,2,6,
9,2.3439,2.7898,4.7914,3.3083666666666667,1.6541833333333333,10062.82,10167.82,0,10141.79,10180.75,0,4,6,
10,4.7914,3.8595,3.8046,4.151833333333333,2.0759166666666666,10141.79,10180.75,0,10183.72,10200.81,0,6,7,
11,3.8046,3.9476,6.4934,4.7485333333333335,2.3742666666666667,10183.72,10200.81,0,10166.24,10247.25,0,7,8,
12,8.0457,3.8507,6.4934,6.129933333333334,3.064966666666667,10093.35,10203.21,0,10166.24,10247.25,0,5,8,
13,6.4934,3.4774,5.9154,5.2954,2.6477,10166.24,10247.25,0,10185.83,10291.86,0,8,9,
14,5.9154,3.5283,2.3733,3.939,1.9695,10185.83,10291.86,0,10224.19,10278.96,0,9,10,
15,2.3733,16.5299,27.0685,15.3239,7.66195,10224.19,10278.96,0,10215.91,10251.86,0,10,11,
16,27.0685,12.4631,3.2688,14.266799999999998,7.133399999999999,10215.91,10251.86,0,10199.99,10211.34,0,11,12,
17,3.8046,3.6703,3.2688,3.5812333333333335,1.7906166666666667,10183.72,10200.81,0,10199.99,10211.34,0,7,12,
18,3.2688,2.7984,2.2988,2.7886666666666664,1.3943333333333332,10199.99,10211.34,0,10270.11,10199.48,0,12,13,
19,2.2988,7.7375,11.1709,7.069066666666667,3.5345333333333335,10270.11,10199.48,0,10287.6,10217.21,0,13,14,
20,27.0685,3.3363,11.1709,13.858566666666666,6.929283333333333,10215.91,10251.86,0,10287.6,10217.21,0,11,14,
21,2.3773,9.5055,13.371,8.417933333333332,4.208966666666666,10224.19,10278.96,0,10278.48,10278.52,0,10,15,
22,13.371,6.061,11.1709,10.200966666666668,5.100483333333334,10278.48,10278.52,0,10287.6,10217.21,0,15,14,
23,11.1709,3.6021,2.3791,5.717366666666667,2.8586833333333335,10287.6,10217.21,0,10310.79,10215.24,0,14,16,OUT
24,8.374,8.3844,11.1709,9.309766666666667,4.654883333333333,10265.38,10165.38,0,10287.6,10217.21,0,17,14,
25,6.9399,6.6747,6.5783,6.730966666666666,3.365483333333333,10182.86,10164.91,0,10210.56,10180.14,0,2,18,
26,6.5783,10.7166,8.374,8.5563,4.27815,10210.56,10180.14,0,10265.38,10165.38,0,18,17,
27,8.374,2.6711,3.2746,4.773233333333334,2.386616666666667,10265.38,10165.38,0,10271.09,10139.0,0,17,19,
28,3.2746,11.817,2.7366,5.942733333333333,2.9713666666666665,10271.09,10139.0,0,10249.72,10119.15,0,19,20,
29,2.7336,5.1353,6.7207,4.8632,2.4316,10249.72,10119.15,0,10234.06,10135.73,0,20,21,
30,6.7207,5.0907,7.8916,6.567666666666667,3.2838333333333334,10234.06,10135.73,0,10210.74,10131.01,0,21,22,
31,6.9399,7.111,7.8916,7.314166666666666,3.657083333333333,10182.86,10164.91,0,10210.74,10131.01,0,2,22,
32,2.4795,4.2623,7.8916,4.8778,2.4389,10202.13,10106.51,0,10210.74,10131.01,0,23,22,
33,2.4795,3.5551,4.9749,3.669833333333333,1.8349166666666665,10202.13,10106.51,0,10172.3,10101.79,0,23,24,
34,4.9749,2.2608,2.5184,3.2513666666666663,1.6256833333333331,10172.3,10101.79,0,10163.87,10137.31,0,24,25,
35,2.5184,4.5761,6.9399,4.678133333333333,2.3390666666666666,10163.87,10137.31,0,10182.86,10164.91,0,25,2,
36,4.9749,3.2116,4.9773,4.387933333333333,2.1939666666666664,10172.3,10101.79,0,10134.48,10068.24,0,24,26,
37,2.9276,3.0382,4.9773,3.6477,1.82385,10083.96,10073.92,0,10134.48,10068.24,0,1,26,
